participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
6,neutral_percent,6,0.0155,-0.9746,0.9967,0.97682,0.97682
6,happy_percent,6,0.1085,-0.5,1.0,0.83794,0.947237
6,sad_percent,6,0.7593,0.7593,1.0,0.07996,0.519738
6,surprise_percent,6,-0.496,-0.9982,0.5373,0.31706,0.584198
6,fear_percent,6,0.4897,-0.5084,0.9998,0.324159,0.584198
6,disgust_percent,6,0.7289,-0.9127,0.9994,0.100298,0.52155
6,angry_percent,6,,,,,
6,short_blink_percent,6,-0.8117,-0.9916,-0.2323,0.049828,0.519738
6,medium_blink_percent,6,-0.0454,-0.9975,0.9988,0.93189,0.97682
6,long_blink_percent,6,0.8531,0.1581,0.9961,0.030795,0.519738
6,short_fixation_low_disp_percent,6,0.6034,-0.0226,0.9815,0.204722,0.535927
6,short_fixation_high_disp_percent,6,-0.6034,-0.9815,0.0226,0.204722,0.535927
6,medium_fixation_low_disp_percent,6,0.6077,-0.2175,0.9991,0.200697,0.535927
6,medium_fixation_high_disp_percent,6,-0.6077,-0.9991,0.2175,0.200697,0.535927
6,long_fixation_low_disp_percent,6,-0.2272,-0.9758,0.8652,0.665094,0.82345
6,long_fixation_high_disp_percent,6,0.2272,-0.8652,0.9758,0.665094,0.82345
6,small_pupil_percent,6,-0.3351,-1.0,0.7217,0.516111,0.718511
6,medium_pupil_percent,6,0.3503,-0.6593,0.931,0.496102,0.718511
6,large_pupil_percent,6,0.1286,-0.5451,1.0,0.808163,0.947237
6,ecg_heart_rate,6,-0.3525,-0.9988,0.91,0.493184,0.718511
6,ecg_sdnn,6,0.3284,-0.4883,0.9394,0.525066,0.718511
6,ecg_rmssd,6,0.4785,-0.9865,1.0,0.337038,0.584198
6,ecg_pnn50,6,0.5808,-0.3681,1.0,0.226738,0.535927
7,emotion_diversity,6,0.1353,-0.5,0.8222,0.798361,0.968454
7,non_neutral_percent,6,0.2254,-0.9994,0.9999,0.667564,0.968454
7,positive_percent,6,-0.1982,-0.9644,0.9941,0.70665,0.968454
7,negative_percent,6,0.5229,-0.6038,0.9999,0.28712,0.968454
7,neutral_percent,6,-0.2254,-0.9999,0.9994,0.667564,0.968454
7,happy_percent,6,,,,,
7,sad_percent,6,0.2712,-0.6325,0.9995,0.603231,0.968454
7,surprise_percent,6,-0.1982,-0.9644,0.9941,0.70665,0.968454
7,fear_percent,6,0.537,-0.6028,1.0,0.271968,0.968454
7,disgust_percent,6,-0.6324,-0.9986,1.0,0.177854,0.968454
7,angry_percent,6,,,,,
7,short_blink_percent,6,-0.4491,-0.9651,0.6167,0.371679,0.968454
7,medium_blink_percent,6,-0.4801,-0.9938,0.1883,0.335128,0.968454
7,long_blink_percent,6,0.9107,0.3234,0.999,0.0116,0.290005
7,short_fixation_low_disp_percent,6,0.1958,-0.8428,0.9299,0.710105,0.968454
7,short_fixation_high_disp_percent,6,-0.1958,-0.9299,0.8428,0.710105,0.968454
7,medium_fixation_low_disp_percent,6,0.1593,-0.6888,0.9592,0.763134,0.968454
7,medium_fixation_high_disp_percent,6,-0.1593,-0.9592,0.6888,0.763134,0.968454
7,long_fixation_low_disp_percent,6,-0.2948,-0.975,0.4361,0.570559,0.968454
7,long_fixation_high_disp_percent,6,0.2948,-0.4361,0.975,0.570559,0.968454
7,small_pupil_percent,6,-0.1455,-0.8901,0.9098,0.783226,0.968454
7,medium_pupil_percent,6,0.0922,-0.8434,0.9664,0.862079,0.971452
7,large_pupil_percent,6,0.125,-0.5182,0.9865,0.813502,0.968454
7,ecg_heart_rate,6,-0.0208,-0.8586,0.9542,0.968825,0.971452
7,ecg_sdnn,6,-0.2564,-0.9831,0.8665,0.623795,0.968454
7,ecg_rmssd,6,-0.0581,-0.9991,0.9429,0.912962,0.971452
7,ecg_pnn50,6,0.019,-0.9771,0.9827,0.971452,0.971452
